case,completion_tokens,cost,critical_miss_count,elapsed_seconds,failed_occurrence,false_approval_count,gate_attempt_rate,http_retries,model,model_resolution_mismatch,overall_score,prompt_tokens,rate_limits,resolved_models,resumed_gates,route,route_complete_decision,route_complete_execution,status,strict_gate_success_rate,tool_calls,truncated_responses
DGF-BUY-012003_buy,25237,0.0545411,0,1204.186,,0,1.0,3,z-ai/glm-5.3-flash,False,0.9667,507836,3,['z-ai/glm-5.3-flash'],0,buy,False,False,OK,0.6667,44,0
DGF-BLD-012013_build,11468,0.011925161600000001,0,335.489,,0,1.0,0,deepseek/deepseek-v4.1-flash,False,0.93,174505,0,['deepseek/deepseek-v4.1-flash'],0,build,False,False,OK,0.2,33,0
DGF-BLD-012014_build,13060,0.0141430844,0,355.365,,0,1.0,0,deepseek/deepseek-v4.1-flash,False,0.9132,201875,0,['deepseek/deepseek-v4.1-flash'],0,build,False,False,OK,0.0,39,0
DGF-BUY-012004_buy,40455,0.05510468,,1377.997,BUY-06-GENERAL-1,,,8,z-ai/glm-5.3-flash,False,,418746,8,['z-ai/glm-5.3-flash'],0,buy,,,INFRA_ERROR,,32,1
DGF-INT-012005_integrate,38084,0.07109903,0,1393.413,,0,1.0,6,z-ai/glm-5.3-flash,False,0.9332,658377,6,['z-ai/glm-5.3-flash'],0,integrate,False,False,OK,0.1667,57,0
DGF-INT-012007_integrate,29755,0.043750010000000006,0,834.181,,0,1.0,2,z-ai/glm-5.3-flash,False,0.9445,349053,2,['z-ai/glm-5.3-flash'],0,integrate,False,False,OK,0.1667,33,0
DGF-INT-012006_integrate,37514,0.06473214000000001,0,1051.438,,0,1.0,5,z-ai/glm-5.3-flash,False,0.9695,586838,5,['z-ai/glm-5.3-flash'],0,integrate,False,False,OK,0.5,52,0
DGF-INT-012009_integrate,24761,0.05348353000000001,,1503.564,INTEGRATE-04-LEGAL-1,,,7,z-ai/glm-5.3-flash,False,,526641,6,['z-ai/glm-5.3-flash'],0,integrate,,,INFRA_ERROR,,40,1
DGF-INT-012008_integrate,33936,0.06524229000000001,,1691.029,INTEGRATE-06-GENERAL-1,,,6,z-ai/glm-5.3-flash,False,,613259,6,['z-ai/glm-5.3-flash'],0,integrate,,,INFRA_ERROR,,52,1
DGF-BLD-012010_build,30646,0.05039657,0,1401.972,,0,1.0,4,z-ai/glm-5.3-flash,False,0.9666,424595,3,['z-ai/glm-5.3-flash'],0,build,False,False,OK,0.6,36,0
DGF-BLD-012011_build,36638,0.05773539000000001,,1452.477,BUILD-05-GENERAL-1,,,3,z-ai/glm-5.3-flash,False,,484745,3,['z-ai/glm-5.3-flash'],0,build,,,INFRA_ERROR,,36,0
DGF-BLD-012012_build,30718,0.0553895,0,741.83,,0,1.0,1,z-ai/glm-5.3-flash,False,0.986,510070,1,['z-ai/glm-5.3-flash'],0,build,False,False,OK,0.6,42,0
DGF-BLD-012013_build,25085,0.06098938000000001,0,652.75,,0,1.0,1,z-ai/glm-5.3-flash,False,0.97,624240,1,['z-ai/glm-5.3-flash'],0,build,False,False,OK,0.6,51,0
DGF-BLD-012014_build,28273,0.04113211,0,819.836,,0,1.0,6,z-ai/glm-5.3-flash,False,0.9332,329031,6,['z-ai/glm-5.3-flash'],0,build,False,False,OK,0.2,28,0
